order,Distr_ID,Gub_ID,Name_RU,Name_ENG,prov_RU,prov_ENG,district_uk,state_uk
248,395,45,Чериковский,Cherikovskii,Могилевская губерния,Mogilev governorate,Черіківський повіт,Могилівська губернія
249,390,44,Мглинский,Mglinskii,Черниговская губерния,Chernigov governorate,Мглинський повіт,Чернігівська губернія
250,396,45,Климовичский,Klimovichskii,Могилевская губерния,Mogilev governorate,Климовичський повіт,Могилівська губернія
251,397,45,Мстиславский,Mstislavskii,Могилевская губерния,Mogilev governorate,Мстиславський повіт,Могилівська губернія
252,399,45,Чаусский,Chausskii,Могилевская губерния,Mogilev governorate,Чауський повіт,Могилівська губернія
253,398,45,Могилевский,Mogilevskii,Могилевская губерния,Mogilev governorate,Могилевський повіт,Могилівська губернія
254,185,23,Полоцкий,Polotskii,Витебская губерния,Vitebsk governorate,Полоцький повіт,Вітебська губернія
255,400,45,Сенненский,Sennenskii,Могилевская губерния,Mogilev governorate,Сенненський повіт,Могилівська губернія
256,401,45,Оршанский,Orshanskii,Могилевская губерния,Mogilev governorate,Оршанський повіт,Могилівська губернія
257,403,46,Рославский,Roslavskii,Смоленская губерния,Smolensk governorate,Рославський повіт,Смоленська губернія
258,404,46,Краснинский,Krasninskii,Смоленская губерния,Smolensk governorate,Краснінський повіт,Смоленська губернія
259,402,45,Горецкий,Goretskii,Могилевская губерния,Mogilev governorate,Горецький повіт,Могилівська губернія
260,407,46,Дорогобужский,Dorogobuzhskii,Смоленская губерния,Smolensk governorate,Дорогобузький повіт,Смоленська губернія
261,409,46,Смоленский,Smolenskii,Смоленская губерния,Smolensk governorate,Смоленський повіт,Смоленська губернія
262,405,46,Гжатский,Gzhatskii,Смоленская губерния,Smolensk governorate,Гжацький повіт,Смоленська губернія
263,410,46,Вяземский,Viazemskii,Смоленская губерния,Smolensk governorate,Вяземський повіт,Смоленська губернія
264,413,46,Поречский,Porechskii,Смоленская губерния,Smolensk governorate,Поречський повіт,Смоленська губернія
265,91,13,Зубцовский,Zubtsovskii,Тверская губерния,Tver governorate,Зубцовський повіт,Тверська губернія
266,414,46,Бельский,Belskii,Смоленская губерния,Smolensk governorate,Бєльський повіт,Смоленська губернія
267,415,47,Медынский,Medynskii,Калужская губерния,Kaluga governorate,Мединський повіт,Калузька губернія
268,416,47,Боровский,Borovskii,Калужская губерния,Kaluga governorate,Боровський повіт,Калузька губернія
269,418,47,Тарусский,Tarusskii,Калужская губерния,Kaluga governorate,Таруський повіт,Калузька губернія
270,419,47,Калужский,Kaluzhskii,Калужская губерния,Kaluga governorate,Калузький повіт,Калузька губернія
271,421,47,Перемышльский,Peremyshlskii,Калужская губерния,Kaluga governorate,Перемишльський повіт,Калузька губернія
272,422,47,Козельский,Kozelskii,Калужская губерния,Kaluga governorate,Козельський повіт,Калузька губернія
273,423,47,Мещонский,Meshchonskii,Калужская губерния,Kaluga governorate,Мещонський повіт,Калузька губернія
274,424,47,Мосальский,Mosalskii,Калужская губерния,Kaluga governorate,Мосальський повіт,Калузька губернія
275,425,47,Жиздринский,Zhizdrinskii,Калужская губерния,Kaluga governorate,Жиздринський повіт,Калузька губернія
276,408,46,Ельнинский,Elninskii,Смоленская губерния,Smolensk governorate,Єльнінський повіт,Смоленська губернія
277,89,13,Тверской,Tverskoi,Тверская губерния,Tver governorate,Тверський повіт,Тверська губернія
278,426,48,Волоколамский,Volokolamskii,Московская губерния,Moscow governorate,Волоколамський повіт,Московська губернія
279,427,48,Можайский,Mozhaiskii,Московская губерния,Moscow governorate,Можайський повіт,Московська губернія
280,428,48,Клинский,Klinskii,Московская губерния,Moscow governorate,Клінський повіт,Московська губернія
281,429,48,Рузский,Ruzskii,Московская губерния,Moscow governorate,Рузький повіт,Московська губернія
282,430,48,Верейский,Vereiskii,Московская губерния,Moscow governorate,Верейський повіт,Московська губернія
283,431,48,Серпуховский,Serpukhovskii,Московская губерния,Moscow governorate,Серпухівський повіт,Московська губернія
284,138,17,Александровский,Aleksandrovskii,Владимирская губерния,Vladimir governorate,Олександрівський повіт,Володимирська губернія
285,434,48,Богородский,Bogorodskii,Московская губерния,Moscow governorate,Богородський повіт,Московська губернія
286,88,13,Корчевский,Korchevskii,Тверская губерния,Tver governorate,Корчевський повіт,Тверська губернія
287,435,48,Дмитровский,Dmitrovskii,Московская губерния,Moscow governorate,Дмитровський повіт,Московська губернія
288,436,48,Звенигородский,Zvenigorodskii,Московская губерния,Moscow governorate,Звенигородський повіт,Московська губернія
289,437,48,Московский,Moskovskii,Московская губерния,Moscow governorate,Московський повіт,Московська губернія
290,432,48,Коломенский,Kolomenskii,Московская губерния,Moscow governorate,Коломенський повіт,Московська губернія
291,438,48,Подольский,Podolskii,Московская губерния,Moscow governorate,Подільський повіт,Московська губернія
292,439,49,Каширский,Kashirskii,Тульская губерния,Tula governorate,Каширський повіт,Тульська губернія
293,440,49,Алексинский,Aleksinskii,Тульская губерния,Tula governorate,Олексинський повіт,Тульська губернія
294,444,49,Епифанский,Epifanskii,Тульская губерния,Tula governorate,Єпіфанський повіт,Тульська губернія
295,445,49,Ефремовский,Efremovskii,Тульская губерния,Tula governorate,Єфремовський повіт,Тульська губернія
296,442,49,Одоевский,Odoevskii,Тульская губерния,Tula governorate,Одоєвський повіт,Тульська губернія
297,447,49,Чернский,Chernskii,Тульская губерния,Tula governorate,Чорний повіт,Тульська губернія
298,448,49,Тульский,Tulskii,Тульская губерния,Tula governorate,Тульський повіт,Тульська губернія
299,449,49,Крапивенский,Krapivenskii,Тульская губерния,Tula governorate,Крапивенський повіт,Тульська губернія
300,450,49,Богородицкий,Bogoroditskii,Тульская губерния,Tula governorate,Богородицький повіт,Тульська губернія
301,452,50,Трубчевский,Trubchevskii,Орловская губерния,Orel governorate,Трубчевський повіт,Орловська губернія
302,454,50,Карачевский,Karachevskii,Орловская губерния,Orel governorate,Карачевський повіт,Орловська губернія
303,455,50,Болховский,Bolkhovskii,Орловская губерния,Orel governorate,Болхівський повіт,Орловська губернія
304,456,50,Мценский,Mtsenskii,Орловская губерния,Orel governorate,Мценський повіт,Орловська губернія
305,459,50,Кромский,Kromskii,Орловская губерния,Orel governorate,Кромський повіт,Орловська губернія
306,460,50,Малоархангельский,Maloarkhangelskii,Орловская губерния,Orel governorate,Малоархангельський повіт,Орловська губернія
307,462,50,Ливенский,Livenskii,Орловская губерния,Orel governorate,Лівенський повіт,Орловська губернія
308,385,44,Кролевецкий,Krolevetskii,Черниговская губерния,Chernigov governorate,Кролевецький повіт,Чернігівська губернія
309,464,51,Путивльский,Putivlskii,Курская губерния,Kursk governorate,Путивльський повіт,Курська губернія
310,465,51,Рыльский,Rylskii,Курская губерния,Kursk governorate,Рильський повіт,Курська губернія
311,467,51,Суджанский,Sudzhanskii,Курская губерния,Kursk governorate,Суджанський повіт,Курська губернія
312,466,51,Льговский,Lgovskii,Курская губерния,Kursk governorate,Льговський повіт,Курська губернія
313,468,51,Фатежский,Fatezhskii,Курская губерния,Kursk governorate,Фатезький повіт,Курська губернія
314,458,50,Дмитровский,Dmitrovskii,Орловская губерния,Orel governorate,Дмитровський повіт,Орловська губернія
315,457,50,Орловский,Orlovskii,Орловская губерния,Orel governorate,Орловський повіт,Орловська губернія
316,469,51,Щигровский,Shchigrovskii,Курская губерния,Kursk governorate,Щигровський повіт,Курська губернія
317,472,51,Корочанский,Korochanskii,Курская губерния,Kursk governorate,Корочанський повіт,Курська губернія
318,475,51,Тимский,Timskii,Курская губерния,Kursk governorate,Тимський повіт,Курська губернія
319,476,51,Обоянский,Oboianskii,Курская губерния,Kursk governorate,Обоянський повіт,Курська губернія
320,477,51,Курский,Kurskii,Курская губерния,Kursk governorate,Курський повіт,Курська губернія
321,479,52,Лебединский,Lebedinskii,Харьковская губерния,Kharkov governorate,Лебединський повіт,Харківська губернія
322,372,43,Роменский,Romenskii,Полтавская губерния,Poltava governorate,Роменський повіт,Полтавська губернія
323,480,52,Ахтырский,Akhtyrskii,Харьковская губерния,Kharkov governorate,Охтирський повіт,Харківська губернія
324,481,52,Богодуховский,Bogodukhovskii,Харьковская губерния,Kharkov governorate,Богодухівський повіт,Харківська губернія
325,482,52,Валковский,Valkovskii,Харьковская губерния,Kharkov governorate,Валковський повіт,Харківська губернія
326,483,52,Харьковский,Kharkovskii,Харьковская губерния,Kharkov governorate,Харківський повіт,Харківська губернія
327,470,51,Грайворонский,Graivoronskii,Курская губерния,Kursk governorate,Грайворонський повіт,Курська губернія
328,485,52,Волчанский,Volchanskii,Харьковская губерния,Kharkov governorate,Вовчанський повіт,Харківська губернія
329,471,51,Белгородский,Belgorodskii,Курская губерния,Kursk governorate,Білгородський повіт,Курська губернія
330,487,52,Старобельский,Starobelskii,Харьковская губерния,Kharkov governorate,Старобільський повіт,Харківська губернія
331,488,52,Изюмский,Iziumskii,Харьковская губерния,Kharkov governorate,Ізюмський повіт,Харківська губернія
332,489,53,Мелитопольский,Melitopolskii,Таврическая губерния,Taurida governorate,Мелітопольський повіт,Таврійська губернія
333,491,53,Перекопский,Perekopskii,Таврическая губерния,Taurida governorate,Перекопський повіт,Таврійська губернія
334,493,53,Севастопольское,Sevastopolskoe,Таврическая губерния,Taurida governorate,Севастопольський повіт,Таврійська губернія
335,494,53,Ялтинский,Ialtinskii,Таврическая губерния,Taurida governorate,Ялтинський повіт,Таврійська губернія
336,495,53,Симферопольский,Simferopolskii,Таврическая губерния,Taurida governorate,Сімферопольський повіт,Таврійська губернія
337,496,53,Феодосийский,Feodosiiskii,Таврическая губерния,Taurida governorate,Феодосійський повіт,Таврійська губернія
338,497,53,Керчь-Еникальское,Kerch-Enikalskoe,Таврическая губерния,Taurida governorate,Керч-Єнікальський повіт,Таврійська губернія
339,498,54,Верхне-днепровский,Verkhne-Dneprovskii,Екатеринославская губерния,Ekaterinoslav governorate,Верхньодніпровський повіт,Катеринославська губернія
340,501,54,Павлоградский,Pavlogradskii,Екатеринославская губерния,Ekaterinoslav governorate,Павлоградський повіт,Катеринославська губернія
341,500,54,Екатеринославский,Ekaterinoslavskii,Екатеринославская губерния,Ekaterinoslav governorate,Катеринославський повіт,Катеринославська губернія
342,502,54,Александровский,Aleksandrovskii,Екатеринославская губерния,Ekaterinoslav governorate,Олександрівський повіт,Катеринославська губернія
343,503,54,Мариупольский,Mariupolskii,Екатеринославская губерния,Ekaterinoslav governorate,Маріупольський повіт,Катеринославська губернія
344,506,55,Данковский,Dankovskii,Рязанская губерния,Ryazan governorate,Данковський повіт,Рязанська губернія
345,507,55,Скопинский,Skopinskii,Рязанская губерния,Ryazan governorate,Скопинський повіт,Рязанська губернія
346,508,55,Михайловский,Mikhailovskii,Рязанская губерния,Ryazan governorate,Михайлівський повіт,Рязанська губернія
347,443,49,Веневский,Venevskii,Тульская губерния,Tula governorate,Веневський повіт,Тульська губернія
348,509,55,Зарайский,Zaraiskii,Рязанская губерния,Ryazan governorate,Зарайський повіт,Рязанська губернія
349,510,55,Егорьевский,Egorevskii,Рязанская губерния,Ryazan governorate,Єгор'євський повіт,Рязанська губернія
350,433,48,Бронницкий,Bronnitskii,Московская губерния,Moscow governorate,Бронницький повіт,Московська губернія
351,512,55,Рязанский,Riazanskii,Рязанская губерния,Ryazan governorate,Рязанський повіт,Рязанська губернія
352,515,55,Ряжский,Riazhskii,Рязанская губерния,Ryazan governorate,Рязький повіт,Рязанська губернія
353,520,56,Усманский,Usmanskii,Тамбовская губерния,Tambov governorate,Усманський повіт,Тамбовська губернія
354,521,56,Козловский,Kozlovskii,Тамбовская губерния,Tambov governorate,Козловський повіт,Тамбовська губернія
355,518,56,Лебедянский,Lebedianskii,Тамбовская губерния,Tambov governorate,Лебедянський повіт,Тамбовська губернія
356,522,56,Елатомский,Elatomskii,Тамбовская губерния,Tambov governorate,Єлатомський повіт,Тамбовська губернія
357,525,56,Спасский,Spasskii,Тамбовская губерния,Tambov governorate,Спаський повіт,Тамбовська губернія
358,526,56,Моршанский,Morshanskii,Тамбовская губерния,Tambov governorate,Моршанський повіт,Тамбовська губернія
359,531,57,Землянский,Zemlianskii,Воронежская губерния,Voronezh governorate,Землянський повіт,Воронезька губернія
360,473,51,Новооскольский,Novooskolskii,Курская губерния,Kursk governorate,Новооскольський повіт,Курська губернія
361,532,57,Нижнедевицкий,Nizhnedevitskii,Воронежская губерния,Voronezh governorate,Нижньодевицький повіт,Воронезька губернія
362,474,51,Старооскольский,Starooskolskii,Курская губерния,Kursk governorate,Старооскольський повіт,Курська губернія
363,533,57,Воронежский,Voronezhskii,Воронежская губерния,Voronezh governorate,Воронезький повіт,Воронезька губернія
364,530,57,Задонский,Zadonskii,Воронежская губерния,Voronezh governorate,Задонський повіт,Воронезька губернія
365,528,56,Борисоглебский,Borisoglebskii,Тамбовская губерния,Tambov governorate,Борисоглібський повіт,Тамбовська губернія
366,535,57,Бобровский,Bobrovskii,Воронежская губерния,Voronezh governorate,Бобровський повіт,Воронезька губернія
367,536,57,Новохоперский,Novokhoperskii,Воронежская губерния,Voronezh governorate,Новохоперський повіт,Воронезька губернія
368,538,57,Богучарский,Bogucharskii,Воронежская губерния,Voronezh governorate,Богучарський повіт,Воронезька губернія
369,539,57,Валуйский,Valuiskii,Воронежская губерния,Voronezh governorate,Валуйський повіт,Воронезька губернія
370,540,57,Бирюченский,Biriuchenskii,Воронежская губерния,Voronezh governorate,Бірюченський повіт,Воронезька губернія
371,541,57,Острогожский,Ostrogozhskii,Воронежская губерния,Voronezh governorate,Острогозький повіт,Воронезька губернія
372,545,58,Донецкий,Donetskii,Земля войска Донского,Don Cossack host lands,Донецький повіт,Земля війська Донського
373,546,58,Таганрогский,Taganrogskii,Земля войска Донского,Don Cossack host lands,Таганрозький повіт,Земля війська Донського
374,548,59,Ейский,Eiskii,Кубанская область,Kuban region,Єйський повіт,Кубанська область
375,633,72,Медвеженский,Medvezhenskii,Ставропольская губерния,Stavropol governorate,Медвежанський повіт,Ставропольська губернія
376,549,58,Черкасский,Cherkasskii,Земля войска Донского,Don Cossack host lands,Черкаський повіт,Земля війська Донського
377,557,59,Лабинский,Labinskii,Кубанская область,Kuban region,Лабінський повіт,Кубанська область
378,554,59,Екатеринодарский,Ekaterinodarskii,Кубанская область,Kuban region,Катеринодарський повіт,Кубанська область
379,559,60,Новороссийский,Novorossiiskii,Черноморская губерния,Black Sea governorate,Новоросійський повіт,Чорноморська губернія
380,556,59,Майкопский,Maikopskii,Кубанская область,Kuban region,Майкопський повіт,Кубанська область
381,560,60,Туапсинский,Tuapsinskii,Черноморская губерния,Black Sea governorate,Туапсинський повіт,Чорноморська губернія
382,562,62,Сухумский,Sukhumskii,Кутаисская  губерния вкл. Сухумский округ,Kutaisi governorate incl. Sukhumi district,Сухумський повіт,Кутаїська губернія вкл. Сухумський округ
383,563,62,Зугдидский,Zugdidskii,Кутаисская  губерния вкл. Сухумский округ,Kutaisi governorate incl. Sukhumi district,Зугдідський повіт,Кутаїська губернія вкл. Сухумський округ
384,558,59,Баталпашинский,Batalpashinskii,Кубанская область,Kuban region,Баталпашинський повіт,Кубанська область
385,564,62,Лечхумский,Lechkhumskii,Кутаисская  губерния вкл. Сухумский округ,Kutaisi governorate incl. Sukhumi district,Лечхумський повіт,Кутаїська губернія вкл. Сухумський округ
386,567,62,Кутаисский,Kutaisskii,Кутаисская  губерния вкл. Сухумский округ,Kutaisi governorate incl. Sukhumi district,Кутаїський повіт,Кутаїська губернія вкл. Сухумський округ
387,568,62,Сенакский,Senakskii,Кутаисская  губерния вкл. Сухумский округ,Kutaisi governorate incl. Sukhumi district,Сенацький повіт,Кутаїська губернія вкл. Сухумський округ
388,569,62,Озургетский,Ozurgetskii,Кутаисская  губерния вкл. Сухумский округ,Kutaisi governorate incl. Sukhumi district,Озургетський повіт,Кутаїська губернія вкл. Сухумський округ
389,571,62,Артвинский,Artvinskii,Кутаисская  губерния вкл. Сухумский округ,Kutaisi governorate incl. Sukhumi district,Артвінський повіт,Кутаїська губернія вкл. Сухумський округ
390,572,64,Ольтинский,Oltinskii,Карская губерния,Kars governorate,Ольтинський повіт,Карська губернія
391,574,64,Карсский,Karsskii,Карская губерния,Kars governorate,Карський повіт,Карська губернія
392,575,64,Ардаганский,Ardaganskii,Карская губерния,Kars governorate,Ардаганський повіт,Карська губернія
393,573,64,Кагызманский,Kagyzmanskii,Карская губерния,Kars governorate,Кагизманський повіт,Карська губернія
394,577,65,Эчмиадзинский,Echmiadzinskii,Эриванская губерния,Erevan governorate,Ечміадзінський повіт,Еріванська губернія
395,578,65,Александропольский,Aleksandropolskii,Эриванская губерния,Erevan governorate,Олександропільський повіт,Еріванська губернія
396,579,65,Эриванский,Erivanskii,Эриванская губерния,Erevan governorate,Еріванський повіт,Еріванська губернія
397,576,65,Сурмалинский,Surmalinskii,Эриванская губерния,Erevan governorate,Сурмалінський повіт,Еріванська губернія
398,580,65,Шаруро-Даралагезский,Sharuro-Daralagezskii,Эриванская губерния,Erevan governorate,Шаруро-Даралагезький повіт,Еріванська губернія
399,582,65,Новобаязетский,Novobaiazetskii,Эриванская губерния,Erevan governorate,Новобаязецький повіт,Еріванська губернія
400,587,66,Казахский,Kazakhskii,Елисаветпольская губерния,Elisabethpol governorate,Казахський повіт,Єлисаветпільська губернія
401,588,66,Елисаветпольский,Elisavetpolskii,Елисаветпольская губерния,Elisabethpol governorate,Єлисаветпільський повіт,Єлисаветпільська губернія
402,589,66,Арешский,Areshskii,Елисаветпольская губерния,Elisabethpol governorate,Арешський повіт,Єлисаветпільська губернія
403,583,66,Зангезурский,Zangezurskii,Елисаветпольская губерния,Elisabethpol governorate,Зангезурський повіт,Єлисаветпільська губернія
404,592,67,Джеватский,Dzhevatskii,Бакинская губерния,Baku governorate,Джеватський повіт,Бакинська губернія
405,593,67,Бакинский,Bakinskii,Бакинская губерния,Baku governorate,Бакинський повіт,Бакинська губернія
406,586,66,Джеванширский,Dzhevanshirskii,Елисаветпольская губерния,Elisabethpol governorate,Джеванширський повіт,Єлисаветпільська губернія
407,594,67,Геокчайский,Geokchaiskii,Бакинская губерния,Baku governorate,Геокчайський повіт,Бакинська губернія
408,590,66,Нухинский,Nukhinskii,Елисаветпольская губерния,Elisabethpol governorate,Нухінський повіт,Єлисаветпільська губернія
409,596,67,Кубинский,Kubinskii,Бакинская губерния,Baku governorate,Кубинський повіт,Бакинська губернія
410,597,70,Закатальский,Zakatalskii,Тифлисская губерния вкл. Закатальский округ,Tiflis governorate incl. Zakatalskii district,Закатальський повіт,Тифліська губернія вкл. Закатальський округ
411,598,69,Самурский,Samurskii,Дагестанская область,Dagestan region,Самурський повіт,Дагестанська область
412,600,69,Кайтаго-Табасаранский,Kaitago-Tabasaranskii,Дагестанская область,Dagestan region,Кайтаго-Табасаранський повіт,Дагестанська область
413,601,69,Темир-Хан-Шуринский,Temir-Khan-Shurinskii,Дагестанская область,Dagestan region,Темір-Хан-Шурінський повіт,Дагестанська область
414,603,69,Казикумухский,Kazikumukhskii,Дагестанская область,Dagestan region,Казікумухський повіт,Дагестанська область
415,605,69,Гунибский,Gunibskii,Дагестанская область,Dagestan region,Гунібський повіт,Дагестанська область
416,604,69,Аварский,Avarskii,Дагестанская область,Dagestan region,Аварський повіт,Дагестанська область
417,606,69,Андийский,Andiiskii,Дагестанская область,Dagestan region,Андійський повіт,Дагестанська область
418,608,70,Телавский,Telavskii,Тифлисская губерния вкл. Закатальский округ,Tiflis governorate incl. Zakatalskii district,Телавський повіт,Тифліська губернія вкл. Закатальський округ
419,607,70,Сигнахский,Signakhskii,Тифлисская губерния вкл. Закатальский округ,Tiflis governorate incl. Zakatalskii district,Сігнахський повіт,Тифліська губернія вкл. Закатальський округ
420,610,70,Тифлисский,Tiflisskii,Тифлисская губерния вкл. Закатальский округ,Tiflis governorate incl. Zakatalskii district,Тифліський повіт,Тифліська губернія вкл. Закатальський округ
421,609,70,Тионетский,Tionetskii,Тифлисская губерния вкл. Закатальский округ,Tiflis governorate incl. Zakatalskii district,Тіонецький повіт,Тифліська губернія вкл. Закатальський округ
422,566,62,Шорапанский,Shorapanskii,Кутаисская  губерния вкл. Сухумский округ,Kutaisi governorate incl. Sukhumi district,Шорапанський повіт,Кутаїська губернія вкл. Сухумський округ
423,611,70,Ахалцихский,Akhaltsikhskii,Тифлисская губерния вкл. Закатальский округ,Tiflis governorate incl. Zakatalskii district,Ахалціхський повіт,Тифліська губернія вкл. Закатальський округ
424,612,70,Ахалкалакский,Akhalkalakskii,Тифлисская губерния вкл. Закатальский округ,Tiflis governorate incl. Zakatalskii district,Ахалкалацький повіт,Тифліська губернія вкл. Закатальський округ
425,614,70,Горийский,Goriiskii,Тифлисская губерния вкл. Закатальский округ,Tiflis governorate incl. Zakatalskii district,Горійський повіт,Тифліська губернія вкл. Закатальський округ
426,615,70,Душетский,Dushetskii,Тифлисская губерния вкл. Закатальский округ,Tiflis governorate incl. Zakatalskii district,Душецький повіт,Тифліська губернія вкл. Закатальський округ
427,616,71,Хасавюртовский,Khasaviurtovskii,Терская область,Terek region,Хасавюртовський повіт,Терська область
428,565,62,Рачинский,Rachinskii,Кутаисская  губерния вкл. Сухумский округ,Kutaisi governorate incl. Sukhumi district,Рачинський повіт,Кутаїська губернія вкл. Сухумський округ
429,624,71,Нальчикский,Nalchikskii,Терская область,Terek region,Нальчикський повіт,Терська область
430,626,71,Владикавказский,Vladikavkazskii,Терская область,Terek region,Владикавказький повіт,Терська область
431,618,71,Караногайское приставство,Karanogaiskoe Pristavstvo,Терская область,Terek region,Караногайське приставство,Терська область
432,636,72,Трухменское,Trukhmenskoe,Ставропольская губерния,Stavropol governorate,Трухменський повіт,Ставропольська губернія
433,628,72,Ачикулакское,Achikulakskoe,Ставропольская губерния,Stavropol governorate,Ачикулакський повіт,Ставропольська губернія
434,637,73,Краснослободский,Krasnoslobodskii,Пензенская губерния,Penza governorate,Червонослобідський повіт,Пензенська губернія
435,638,73,Инсарский,Insarskii,Пензенская губерния,Penza governorate,Інсарський повіт,Пензенська губернія
436,640,73,Наровчатский,Narovchatskii,Пензенская губерния,Penza governorate,Нарівчатський повіт,Пензенська губернія
437,642,73,Мокшанский,Mokshanskii,Пензенская губерния,Penza governorate,Мокшанський повіт,Пензенська губернія
438,643,73,Керенский,Kerenskii,Пензенская губерния,Penza governorate,Керенський повіт,Пензенська губернія
439,644,73,Нижнеломовский,Nizhnelomovskii,Пензенская губерния,Penza governorate,Нижньоломовський повіт,Пензенська губернія
440,652,74,Горбатовский,Gorbatovskii,Нижегородская губерния,Nizhny Novgorod governorate,Горбатовський повіт,Нижегородська губернія
441,653,74,Ардатовский,Ardatovskii,Нижегородская губерния,Nizhny Novgorod governorate,Ардатовський повіт,Нижегородська губернія
442,128,17,Муромский,Muromskii,Владимирская губерния,Vladimir governorate,Муромський повіт,Володимирська губернія
443,654,74,Лукояновский,Lukoianovskii,Нижегородская губерния,Nizhny Novgorod governorate,Лукоянівський повіт,Нижегородська губернія
444,651,74,Сергачский,Sergachskii,Нижегородская губерния,Nizhny Novgorod governorate,Сергацький повіт,Нижегородська губернія
445,656,74,Арзамасский,Arzamasskii,Нижегородская губерния,Nizhny Novgorod governorate,Арзамаський повіт,Нижегородська губернія
446,649,74,Макарьевский,Makarevskii,Нижегородская губерния,Nizhny Novgorod governorate,Макаріївський повіт,Нижегородська губернія
447,657,74,Нижегородский,Nizhegorodskii,Нижегородская губерния,Nizhny Novgorod governorate,Нижегородський повіт,Нижегородська губернія
448,658,75,Козьмодемьянский,Kozmodemianskii,Казанская губерния,Kazan governorate,Козьмодем'янський повіт,Казанська губернія
449,660,75,Царевококшайский,Tsarevokokshaiskii,Казанская губерния,Kazan governorate,Царівококшайський повіт,Казанська губернія
450,667,75,Свияжский,Sviiazhskii,Казанская губерния,Kazan governorate,Свіязький повіт,Казанська губернія
451,661,75,Чебоксарский,Cheboksarskii,Казанская губерния,Kazan governorate,Чебоксарський повіт,Казанська губернія
452,195,24,Малмыжский,Malmyzhskii,Вятская губерния,Viatka governorate,Малмизький повіт,Вятська губернія
453,668,75,Казанский,Kazanskii,Казанская губерния,Kazan governorate,Казанський повіт,Казанська губернія
454,665,75,Чистопольский,Chistopolskii,Казанская губерния,Kazan governorate,Чистопольський повіт,Казанська губернія
455,669,75,Лаишевский,Laishevskii,Казанская губерния,Kazan governorate,Лаїшевський повіт,Казанська губернія
456,671,76,Ардатовский,Ardatovskii,Симбирская губерния,Simbirsk governorate,Ардатовський повіт,Симбірська губернія
457,659,75,Ядринский,Iadrinskii,Казанская губерния,Kazan governorate,Ядрінський повіт,Казанська губернія
458,672,76,Алатырский,Alatyrskii,Симбирская губерния,Simbirsk governorate,Алатирський повіт,Симбірська губернія
459,663,75,Тетюшский,Tetiushskii,Казанская губерния,Kazan governorate,Тетюський повіт,Казанська губернія
460,674,76,Симбирский,Simbirskii,Симбирская губерния,Simbirsk governorate,Симбірський повіт,Симбірська губернія
461,641,73,Городищенский,Gorodishchenskii,Пензенская губерния,Penza governorate,Городищенський повіт,Пензенська губернія
462,677,76,Сызранский,Syzranskii,Симбирская губерния,Simbirsk governorate,Сизранський повіт,Симбірська губернія
463,675,76,Корсунский,Korsunskii,Симбирская губерния,Simbirsk governorate,Корсунський повіт,Симбірська губернія
464,680,77,Вольский,Volskii,Саратовская губерния,Saratov governorate,Вольський повіт,Саратівська губернія
465,682,77,Петровский,Petrovskii,Саратовская губерния,Saratov governorate,Петровський повіт,Саратівська губернія
466,543,58,Усть-Медведковский,Ust-Medvedkovskii,Земля войска Донского,Don Cossack host lands,Усть-Медведківський повіт,Земля війська Донського
467,683,77,Царицынский,Tsaritsynskii,Саратовская губерния,Saratov governorate,Царицинський повіт,Саратівська губернія
468,527,56,Кирсановский,Kirsanovskii,Тамбовская губерния,Tambov governorate,Кірсановський повіт,Тамбовська губернія
469,686,77,Сердобский,Serdobskii,Саратовская губерния,Saratov governorate,Сердобський повіт,Саратівська губернія
470,646,73,Пензенский,Penzenskii,Пензенская губерния,Penza governorate,Пензенський повіт,Пензенська губернія
471,542,58,Хоперский,Khoperskii,Земля войска Донского,Don Cossack host lands,Хоперський повіт,Земля війська Донського
472,687,77,Балашовский,Balashovskii,Саратовская губерния,Saratov governorate,Балашовський повіт,Саратівська губернія
473,685,77,Еланский,Elanskii,Саратовская губерния,Saratov governorate,Єланський повіт,Саратівська губернія
474,688,77,Аткарский,Atkarskii,Саратовская губерния,Saratov governorate,Аткарський повіт,Саратівська губернія
475,679,77,Хвалынский,Khvalynskii,Саратовская губерния,Saratov governorate,Хвалинський повіт,Саратівська губернія
476,697,79,Самарский,Samarskii,Самарская губерния,Samara governorate,Самарський повіт,Самарська губернія
477,700,79,Бугурусланский,Buguruslanskii,Самарская губерния,Samara governorate,Бугурусланський повіт,Самарська губернія
478,694,79,Новоузенский,Novouzenskii,Самарская губерния,Samara governorate,Новоузенський повіт,Самарська губернія
479,705,81,Лбищенский,Lbishchenskii,Уральская область,Ural region,Лбищенський повіт,Уральська область
480,198,24,Сарапульский,Sarapulskii,Вятская губерния,Viatka governorate,Сарапульський повіт,Вятська губернія
481,708,82,Мензелинский,Menzelinskii,Уфимская губерния,Ufa governorate,Мензелінський повіт,Уфімська губернія
482,666,75,Мамадышский,Mamadyshskii,Казанская губерния,Kazan governorate,Мамадиський повіт,Казанська губернія
483,721,84,Ирбитский,Irbitskii,Пермская губерния,Perm governorate,Ірбітський повіт,Пермська губернія
484,730,84,Екатеринбургский,Ekaterinburgskii,Пермская губерния,Perm governorate,Єкатеринбурзький повіт,Пермська губернія
485,717,83,Троицкий,Troitskii,Оренбургская губерния,Orenburg governorate,Троїцький повіт,Оренбурзька губернія
486,723,84,Чердынский,Cherdynskii,Пермская губерния,Perm governorate,Чердинський повіт,Пермська губернія
